pmid,year
4623228,1972
4553699,1972
4553698,1972
4553697,1972
4553696,1972
4553695,1972
4553694,1972
4553693,1972
4553692,1972
4553691,1972
4336575,1972
4336574,1972
4553542,1972
4553541,1972
4553540,1972
4553539,1972
4623141,1972
4623140,1972
4623139,1972
4553459,1972
4553458,1972
4553457,1972
4623206,1972
4553638,1972
4553637,1972
4553636,1972
4553635,1972
4553634,1972
4553633,1972
4553690,1972
4553689,1972
4553688,1972
4553687,1972
4336573,1972
4551648,1972
4551647,1972
4551646,1972
4551645,1972
4551644,1972
4551643,1972
4551642,1972
4551641,1972
4551640,1972
4551639,1972
4551638,1972
4551637,1972
4334604,1972
4551525,1972
4551524,1972
4551523,1972
4551522,1972
4551521,1972
4551520,1972
4334508,1972
4553538,1972
4551183,1972
4551182,1972
4551181,1972
4551180,1972
4551179,1972
4551178,1972
4551177,1972
4334032,1972
4551128,1972
4551127,1972
4551126,1972
4333968,1972
4110480,1972
4110479,1972
4551230,1972
4551229,1972
4551228,1972
4551227,1972
4551226,1972
4551225,1972
4551224,1972
4551223,1972
4334101,1972
4110535,1972
4621495,1972
4621494,1972
4550403,1972
4550402,1972
4550401,1972
4550400,1972
4550399,1972
4550398,1972
4332801,1972
4621493,1972
4550397,1972
4550396,1972
4550395,1972
4550394,1972
4550393,1972
4550392,1972
4550391,1972
4550390,1972
4332800,1972
4332799,1972
