pmid,year
4740484,1973
4740483,1973
4740482,1973
4740481,1973
4740480,1973
4740479,1973
4740478,1973
4740477,1973
4740476,1973
4740475,1973
4578168,1973
4578167,1973
4541634,1973
4515739,1973
4352471,1973
4269923,1973
4268898,1973
4198114,1973
4146286,1973
12333199,1973
12306559,1973
4740541,1973
4740540,1973
4740539,1973
4740538,1973
4740537,1973
4740536,1973
4740535,1973
4740534,1973
4740533,1973
4740532,1973
4740531,1973
4740530,1973
4740529,1973
4740528,1973
4740527,1973
4740526,1973
4740525,1973
4740524,1973
4740523,1973
4578399,1973
4515904,1973
4124248,1973
4124247,1973
12306756,1973
12306755,1973
4740359,1973
4740358,1973
4740357,1973
4740356,1973
4740355,1973
4740354,1973
4740353,1973
4740352,1973
4740351,1973
4740350,1973
4740349,1973
4740348,1973
4740347,1973
4740346,1973
4740345,1973
4740344,1973
4740343,1973
4740342,1973
4740341,1973
4740340,1973
4740338,1973
4740337,1973
4740336,1973
4740335,1973
4740334,1973
4577043,1973
4351750,1973
4741028,1973
4741027,1973
4741026,1973
4741025,1973
4741024,1973
4741023,1973
4741022,1973
4741021,1973
4741020,1973
4741019,1973
4741018,1973
4741017,1973
4741016,1973
4741015,1973
4741014,1973
4741013,1973
4741012,1973
4741011,1973
4581840,1973
4581839,1973
4270061,1973
4270060,1973
4270059,1973
11643547,1973
4740392,1973
4740391,1973
4740390,1973
4740389,1973
4740388,1973
4740387,1973
4740386,1973
4740385,1973
4740384,1973
4740383,1973
4740382,1973
4740381,1973
4740380,1973
4740379,1973
4740378,1973
4740377,1973
4740376,1973
4740375,1973
4577228,1973
4577226,1973
4577225,1973
4541424,1973
4197672,1973
4197671,1973
12257404,1973
4740289,1973
4740288,1973
4740287,1973
4740286,1973
4740285,1973
4740284,1973
4740283,1973
4740282,1973
4740281,1973
4740280,1973
4740279,1973
4740278,1973
4740277,1973
4740276,1973
4740275,1973
4740274,1973
4740273,1973
4541310,1973
4351467,1973
4351466,1973
11664262,1973
4801379,1973
4740321,1973
4740320,1973
4740319,1973
4740318,1973
4740317,1973
4740316,1973
4740315,1973
4740314,1973
4740313,1973
4740312,1973
4740311,1973
4740310,1973
4740309,1973
4740308,1973
4740307,1973
4740306,1973
4740305,1973
4740304,1973
4740303,1973
4740302,1973
4740301,1973
4351643,1973
4145955,1973
4123476,1973
4123475,1973
12277009,1973
11643546,1973
4740180,1973
4740179,1973
4740178,1973
4740177,1973
4740176,1973
4740175,1973
4740174,1973
4740173,1973
4740172,1973
4740171,1973
4740170,1973
4740169,1973
4740168,1973
4740167,1973
4740166,1973
4740165,1973
4740164,1973
4740163,1973
4575467,1973
4575466,1973
4350839,1973
4350838,1973
4267820,1973
4196798,1973
12257949,1973
4740090,1973
4740089,1973
4740088,1973
4740087,1973
4740086,1973
4740085,1973
4740084,1973
4740083,1973
4740082,1973
4740081,1973
4740080,1973
4740079,1973
4740078,1973
4740077,1973
4740076,1973
4740075,1973
4740074,1973
4740073,1973
4574926,1973
4574925,1973
4350466,1973
4196356,1973
4196355,1973
4145261,1973
4122436,1973
4739973,1973
4739972,1973
4739971,1973
4739970,1973
4739969,1973
4739968,1973
4739967,1973
4739966,1973
4739965,1973
4739964,1973
4739963,1973
4739962,1973
4739961,1973
4739960,1973
4739959,1973
4739958,1973
4739957,1973
4739956,1973
4739955,1973
4739954,1973
4739953,1973
4739952,1973
4739951,1973
4739950,1973
4634093,1973
4350043,1973
4350042,1973
4267385,1973
4740005,1973
4740004,1973
4740003,1973
4740002,1973
4740001,1973
4740000,1973
4739999,1973
4739998,1973
4739997,1973
4739996,1973
4739995,1973
4739994,1973
4739993,1973
4739992,1973
4739991,1973
4739990,1973
4739989,1973
4739988,1973
4739987,1973
4739986,1973
4739985,1973
4634179,1973
4634178,1973
4634177,1973
4574377,1973
4513058,1973
4739906,1973
4739905,1973
4739904,1973
4739903,1973
4739902,1973
4739901,1973
4739900,1973
4739899,1973
4739898,1973
4739897,1973
4739896,1973
4739895,1973
4739894,1973
4739893,1973
4739892,1973
4739891,1973
4739890,1973
4739889,1973
4739888,1973
4739887,1973
