pmid,year
14442979,1959
14442849,1959
14427337,1959
14427302,1959
14426712,1959
14426539,1959
14425330,1959
14424870,1959
14422795,1959
14421503,1959
14418388,1959
14411038,1959
14409700,1959
14406973,1959
14404206,1959
14400987,1959
14399161,1959
14398912,1959
14398911,1959
13855856,1959
13853906,1959
13850800,1959
13848891,1959
13847231,1959
13846479,1959
13845565,1959
13845204,1959
13844673,1959
13838644,1959
13836864,1959
13835291,1959
13832045,1959
13830445,1959
13825790,1959
13825363,1959
13821352,1959
13817476,1959
13816874,1959
13812492,1959
13812491,1959
13804907,1959
13804906,1959
13803550,1959
13796392,1959
13792373,1959
14447086,1959
14445348,1959
14441296,1959
14439277,1959
14433448,1959
14430761,1959
14428780,1959
14428779,1959
14426511,1959
14420490,1959
14420287,1959
14420210,1959
14415272,1959
14415220,1959
14411853,1959
14410081,1959
14404782,1959
14404104,1959
14404060,1959
14403149,1959
14402291,1959
14401484,1959
13853024,1959
13851545,1959
13850795,1959
13850174,1959
13846993,1959
13846917,1959
13846161,1959
13846039,1959
13845505,1959
13844197,1959
13840892,1959
13839236,1959
13836819,1959
13836541,1959
13828347,1959
13825045,1959
13823355,1959
13823293,1959
13814333,1959
13813703,1959
13809852,1959
13809112,1959
13809111,1959
13809109,1959
13807882,1959
13804910,1959
13802679,1959
13796860,1959
13795349,1959
14445660,1959
14445652,1959
14445651,1959
14444465,1959
14444464,1959
14443239,1959
14439738,1959
14437042,1959
14435686,1959
14433637,1959
14427582,1959
14425893,1959
14424871,1959
14424463,1959
14422058,1959
14421733,1959
14420064,1959
14416837,1959
14416200,1959
14413943,1959
14408534,1959
14407078,1959
14404871,1959
14404870,1959
13856390,1959
13846693,1959
13843278,1959
13840894,1959
13840891,1959
13836540,1959
13835241,1959
13835240,1959
13835238,1959
13833535,1959
13823609,1959
13823416,1959
13821933,1959
13821294,1959
13818028,1959
13814373,1959
13812630,1959
13810427,1959
13810425,1959
13810424,1959
13810180,1959
13810179,1959
13810178,1959
13808005,1959
13806795,1959
13802337,1959
13802304,1959
13801508,1959
13800114,1959
13792058,1959
14447239,1959
14446134,1959
14443779,1959
14430915,1959
14429577,1959
14427147,1959
14421816,1959
14421284,1959
14418219,1959
14417424,1959
14416559,1959
14415396,1959
14415393,1959
14412833,1959
14410462,1959
14409618,1959
14409617,1959
14409051,1959
14408682,1959
14405566,1959
14403148,1959
14402757,1959
14401821,1959
14400986,1959
13851558,1959
13845831,1959
13845830,1959
13844173,1959
13843983,1959
13841851,1959
13841096,1959
13841060,1959
13840645,1959
13840507,1959
13838645,1959
13836092,1959
13827605,1959
13824599,1959
13823772,1959
13823737,1959
13818252,1959
13812146,1959
13809105,1959
13809104,1959
13809103,1959
13809102,1959
13807973,1959
13804190,1959
13798289,1959
13794582,1959
13791530,1959
13673039,1959
13673038,1959
13673037,1959
13673036,1959
13673035,1959
13673034,1959
13673033,1959
13673032,1959
13673031,1959
13673030,1959
13673029,1959
13673028,1959
13673027,1959
13673026,1959
13673025,1959
13673024,1959
13673023,1959
13673022,1959
13673021,1959
13673020,1959
13673019,1959
13673018,1959
13673017,1959
13673016,1959
13673015,1959
13673014,1959
13673013,1959
13673012,1959
13673011,1959
13673010,1959
13673009,1959
13673008,1959
13673007,1959
13673006,1959
13673005,1959
13673004,1959
13673003,1959
13673002,1959
13673001,1959
13673000,1959
13672999,1959
13672998,1959
13672997,1959
13672996,1959
13672995,1959
13672994,1959
13672993,1959
13672992,1959
13672991,1959
13672990,1959
13672989,1959
13672988,1959
13672987,1959
13672986,1959
13672985,1959
13672984,1959
13672983,1959
13672982,1959
13672981,1959
13672980,1959
13672979,1959
13672978,1959
13672977,1959
13672976,1959
13672975,1959
13672974,1959
13672973,1959
13672972,1959
13672971,1959
13672970,1959
13672969,1959
13672968,1959
13672967,1959
13672966,1959
13672965,1959
13672964,1959
13672963,1959
13672962,1959
13672961,1959
13672960,1959
13672959,1959
13672958,1959
13672957,1959
13672956,1959
13672955,1959
13672954,1959
13672953,1959
13672952,1959
13672951,1959
13672950,1959
13672949,1959
13672948,1959
13672947,1959
13672946,1959
13672945,1959
13672944,1959
13672943,1959
13672942,1959
13672941,1959
13672940,1959
13672939,1959
13672938,1959
13672937,1959
13672936,1959
13672935,1959
13672934,1959
13672933,1959
13654428,1959
13654427,1959
13654426,1959
13654425,1959
13654424,1959
13654423,1959
13654422,1959
13654421,1959
13654420,1959
13654419,1959
13654418,1959
13654417,1959
13654416,1959
13654415,1959
13654414,1959
13654413,1959
13654412,1959
13654411,1959
13654410,1959
13654409,1959
13654408,1959
13654407,1959
13654406,1959
13654405,1959
13654404,1959
13654403,1959
13654402,1959
13654401,1959
13654400,1959
13654399,1959
13654398,1959
13654397,1959
13654396,1959
13654395,1959
13654394,1959
13654393,1959
13654392,1959
13654391,1959
13654390,1959
13654389,1959
13654388,1959
13654387,1959
13654386,1959
13654385,1959
13654384,1959
13654383,1959
13654382,1959
13654381,1959
13654380,1959
13654379,1959
13654378,1959
13654377,1959
13654376,1959
13654375,1959
13654374,1959
13654373,1959
13654372,1959
13654371,1959
13654370,1959
13654369,1959
13654368,1959
13654367,1959
13654366,1959
13654365,1959
13654364,1959
13654363,1959
13654362,1959
13654361,1959
13654360,1959
13654359,1959
13654358,1959
13654357,1959
13654356,1959
13654355,1959
13654354,1959
13654353,1959
13654352,1959
13654351,1959
13654350,1959
13654349,1959
13654348,1959
13654347,1959
13654346,1959
13654345,1959
13654344,1959
13654343,1959
13654342,1959
13654341,1959
13654340,1959
13654339,1959
13654338,1959
13654337,1959
13654336,1959
13654335,1959
13654334,1959
13654333,1959
13654332,1959
13654331,1959
13654330,1959
13654329,1959
13654328,1959
13654327,1959
13654326,1959
13654325,1959
13654324,1959
13654323,1959
13654322,1959
13654321,1959
13654320,1959
13654319,1959
13654318,1959
13654317,1959
13654316,1959
13654315,1959
13654314,1959
13654313,1959
13654312,1959
13654311,1959
13654310,1959
13654309,1959
13654308,1959
13654307,1959
13654306,1959
13654305,1959
13654304,1959
13654303,1959
13654302,1959
13654301,1959
13654300,1959
13654299,1959
13654298,1959
13654297,1959
13654296,1959
13654295,1959
13654294,1959
13654293,1959
13654292,1959
13654291,1959
13654290,1959
13654289,1959
13654288,1959
13654287,1959
13654286,1959
13654285,1959
13654284,1959
13654283,1959
13654282,1959
13654281,1959
13654280,1959
13654279,1959
13654278,1959
13654277,1959
13654276,1959
13654275,1959
13654274,1959
13654273,1959
13654272,1959
13654271,1959
13654270,1959
13654269,1959
13654268,1959
13654267,1959
13654266,1959
13654265,1959
13654264,1959
13654263,1959
13654262,1959
13654261,1959
13654260,1959
13654259,1959
13654258,1959
13654257,1959
13654256,1959
13654255,1959
13654254,1959
13654253,1959
13654252,1959
13654251,1959
13654250,1959
13654249,1959
13654248,1959
13654247,1959
13654246,1959
13641287,1959
13641286,1959
13641285,1959
13641284,1959
13641283,1959
13641282,1959
13641281,1959
13641280,1959
13641279,1959
13641278,1959
13641277,1959
13641276,1959
13641275,1959
13641274,1959
13641273,1959
13641272,1959
13641271,1959
13641270,1959
13641269,1959
13641268,1959
13641267,1959
13641266,1959
13641265,1959
13641264,1959
13641263,1959
13641262,1959
13641261,1959
13641260,1959
13641259,1959
13641258,1959
13641257,1959
13641256,1959
13641255,1959
13641254,1959
13641253,1959
13641252,1959
13641251,1959
13641250,1959
13641249,1959
13641248,1959
13641247,1959
13641246,1959
13641245,1959
13641244,1959
13641243,1959
13641242,1959
13641241,1959
13641240,1959
13641239,1959
13641238,1959
13641237,1959
13630926,1959
13630925,1959
13630924,1959
13630923,1959
13630922,1959
13630921,1959
13630920,1959
13630919,1959
13630918,1959
13630917,1959
13630916,1959
13630915,1959
13630914,1959
13630913,1959
13630912,1959
13630911,1959
13630910,1959
13630909,1959
13630908,1959
13630907,1959
13630906,1959
13630905,1959
13630904,1959
13630903,1959
13630902,1959
13630901,1959
13630900,1959
13630899,1959
13630898,1959
13630897,1959
13630896,1959
13630895,1959
13630894,1959
13630893,1959
13630892,1959
13630891,1959
13630890,1959
13630889,1959
13630888,1959
13630887,1959
13630886,1959
13630885,1959
13630884,1959
13630883,1959
13630882,1959
13630881,1959
13630880,1959
13626212,1959
13610922,1959
13610921,1959
13610920,1959
13610919,1959
13610918,1959
13610917,1959
13610916,1959
13610915,1959
13610914,1959
13610913,1959
13610912,1959
13610911,1959
13610910,1959
13610909,1959
13610908,1959
13610907,1959
13610906,1959
13610905,1959
13610904,1959
13610903,1959
13610902,1959
13610901,1959
13610900,1959
13610899,1959
13610898,1959
13610897,1959
13610896,1959
13610895,1959
13610894,1959
13610893,1959
13610892,1959
13610891,1959
13610890,1959
13610889,1959
13610888,1959
13610887,1959
13610886,1959
13610885,1959
13610884,1959
13610883,1959
13610882,1959
13610881,1959
13610880,1959
