<tab:body_comb>
             59.5914	             59.5914
             10.5086	             70.1000
              5.2057	             75.3057
              4.6978	             80.0035
              3.5726	             83.5761
              2.0858	             85.6620
              1.7101	             87.3720
              1.4437	             88.8158
              1.4346	             90.2504
              1.1998	             91.4502
              1.1056	             92.5558
              1.0650	             93.6208
              0.8454	             94.4662
              0.6493	             95.1155
              0.5436	             95.6591
              0.4859	             96.1450
              0.4307	             96.5757
              0.3822	             96.9579
              0.3647	             97.3226
              0.3539	             97.6765
             16.4956	             16.4956
              9.1530	             25.6487
              7.4370	             33.0857
              3.7614	             36.8471
              2.6988	             39.5459
              2.3572	             41.9030
              2.2068	             44.1098
              2.1696	             46.2794
              1.7080	             47.9874
              1.6418	             49.6292
              1.4862	             51.1154
              1.4763	             52.5917
              1.4450	             54.0367
              1.1659	             55.2025
              1.1521	             56.3546
              1.1183	             57.4729
              0.9806	             58.4535
              0.9213	             59.3748
              0.8599	             60.2347
              0.8356	             61.0703
              5.1634	              5.1634
              4.9781	             10.1415
              3.0126	             13.1541
              2.8249	             15.9789
              2.6747	             18.6537
              2.1720	             20.8256
              1.9771	             22.8027
              1.6569	             24.4597
              1.5432	             26.0028
              1.4735	             27.4763
              1.4433	             28.9196
              1.2440	             30.1636
              1.1366	             31.3002
              1.0608	             32.3610
              0.9778	             33.3388
              0.9339	             34.2727
              0.8423	             35.1150
              0.8122	             35.9272
              0.8117	             36.7388
              0.7905	             37.5293
