id,which_concept,concept_id,term,level,score
W2412615215,1,C2777624698,Dermis,2,0.8639622
W2412615215,2,C2778815084,Guinea pig,2,0.56854165
W2412615215,3,C2781294515,Stain,3,0.49111673
W2412615215,4,C2777562237,Hyperplasia,2,0.46767008
W2412615215,5,C74864618,Staining,2,0.46252522
W2412615215,6,C2984185122,Structural integrity,2,0.44075298
W2412615215,7,C185592680,Chemistry,0,0.43331045
W2412615215,8,C142724271,Pathology,1,0.4006905
W2412615215,9,C105702510,Anatomy,1,0.3272048
W2412615215,10,C86803240,Biology,0,0.29947937
W2412615215,11,C71924100,Medicine,0,0.26800814
W2412615215,12,C134018914,Endocrinology,1,0.09663606
W2412615215,13,C66938386,Structural engineering,1,0
W2412615215,14,C127413603,Engineering,0,0
W2021587306,1,C71924100,Medicine,0,0.8082083
W2396558363,1,C71924100,Medicine,0,0.9740161
W2396558363,2,C2908628106,Pulmonary tuberculosis,3,0.74501157
W2396558363,3,C2781069245,Tuberculosis,2,0.6330071
W2396558363,4,C177713679,Intensive care medicine,1,0.4115829
W2396558363,5,C142724271,Pathology,1,0.1360473
W2409501777,1,C2776125364,Albumin,2,0.5330583
W2409501777,2,C86803240,Biology,0,0.38479793
W2409501777,3,C134018914,Endocrinology,1,0.16257662
W2410110844,1,C71924100,Medicine,0,0.9481454
W2410110844,2,C2781069245,Tuberculosis,2,0.683993
W2410110844,3,C2908628106,Pulmonary tuberculosis,3,0.55669284
W2410110844,4,C16005928,Dermatology,1,0.5373527
W2410110844,5,C2780908437,Mycosis,2,0.5241416
W2410110844,6,C142724271,Pathology,1,0.21547195
W2410110844,7,C203014093,Immunology,1,0.1717901
W2410917635,1,C71924100,Medicine,0,0.963466
W2410917635,2,C2780484280,Cortisone,2,0.83203566
W2410917635,3,C2908628106,Pulmonary tuberculosis,3,0.63052297
W2410917635,4,C2781069245,Tuberculosis,2,0.6040231
W2410917635,5,C16005928,Dermatology,1,0.47010773
W2410917635,6,C126322002,Internal medicine,1,0.2533099
W2410917635,7,C142724271,Pathology,1,0.18322667
W2993252233,1,C159110652,Resection,2,0.5232717
W2993252233,2,C71924100,Medicine,0,0.34584084
W2993252233,3,C141071460,Surgery,1,0.3280035
W2084777548,1,C71924100,Medicine,0,0.9449137
W2084777548,2,C191935318,China,2,0.52968913
W2084777548,3,C177713679,Intensive care medicine,1,0.46350044
W2084777548,4,C199539241,Law,1,0
W2084777548,5,C17744445,Political science,0,0
W2394636738,1,C121608353,Cancer,2,0.74696743
W2394636738,2,C71924100,Medicine,0,0.45215863
W2394636738,3,C126322002,Internal medicine,1,0.34632105
W2397768556,1,C2777714996,Lung,2,0.55886525
W2397768556,2,C71924100,Medicine,0,0.43652704
W2397768556,3,C141071460,Surgery,1,0.37605035
