id,which_concept,concept_id,term,level,score
W4252890897,1,C71924100,Medicine,0,0.9694932
W4252890897,2,C2778764654,Pancreas,2,0.49501294
W4252890897,3,C61434518,General surgery,1,0.38103467
W4252890897,4,C126322002,Internal medicine,1,0.23958278
W2006101067,1,C71924100,Medicine,0,0.97033596
W2006101067,2,C178103971,Sling (weapon),2,0.82942307
W2006101067,3,C2779618896,Paralysis,2,0.5367068
W2006101067,4,C2911091166,Transplantation,2,0.47216722
W2006101067,5,C141071460,Surgery,1,0.46894762
W2989383630,1,C71924100,Medicine,0,0.96662
W2989383630,2,C153033020,Wax,2,0.643729
W2989383630,3,C2778589496,Hemostasis,2,0.5951801
W2989383630,4,C2909810335,Hemostatics,3,0.5932135
W2989383630,5,C141071460,Surgery,1,0.36411288000000003
W2989383630,6,C159985019,Composite material,1,0.06401265
W2989383630,7,C192562407,Materials science,0,0
W2412515181,1,C71924100,Medicine,0,0.96529114
W2412515181,2,C2776809568,Duodenum,2,0.83452606
W2412515181,3,C61434518,General surgery,1,0.46535283
W2412515181,4,C141071460,Surgery,1,0.23302048
W2409125107,1,C2780261296,Pentose,3,0.89345336
W2409125107,2,C24107716,Nucleic acid,2,0.8072411
W2409125107,3,C79879829,Intracellular,2,0.75190514
W2409125107,4,C55493867,Biochemistry,1,0.6757439
W2409125107,5,C3409486,Pentose phosphate pathway,4,0.59343255
W2409125107,6,C185592680,Chemistry,0,0.4933509
W2409125107,7,C86803240,Biology,0,0.39764735
W2409125107,8,C62231903,Metabolism,2,0.32817295
W2409125107,9,C20251656,Glycolysis,3,0.18093422
W2409125107,10,C100544194,Fermentation,2,0.05384302
W2469536092,1,C185592680,Chemistry,0,0.601956
W2469536092,2,C43617362,Chromatography,1,0.4171368
W2469536092,3,C31903555,Food science,1,0.3668648
W2469536092,4,C55493867,Biochemistry,1,0.35043246
W2983790064,1,C71924100,Medicine,0,0.97560716
W2983790064,2,C2775967933,Pancreatitis,2,0.5750113
W2983790064,3,C555293320,Diabetes mellitus,2,0.53662664
W2983790064,4,C2776670229,Acute pancreatitis,2,0.5359344
W2983790064,5,C61434518,General surgery,1,0.38721797
W2983790064,6,C126322002,Internal medicine,1,0.36907834
W2983790064,7,C134018914,Endocrinology,1,0.17129135
W1965875816,1,C71924100,Medicine,0,0.98438334
W1965875816,2,C2780016130,Appendicitis,2,0.73827934
W1965875816,3,C61434518,General surgery,1,0.574744
W1965875816,4,C3018581240,Acute appendicitis,2,0.5746414
W1965875816,5,C2779473830,MEDLINE,2,0.44695035
W1965875816,6,C17744445,Political science,0,0
W1965875816,7,C199539241,Law,1,0
W81740315,1,C2778200459,Usnic acid,3,0.95163846
W81740315,2,C501593827,Antibiotics,2,0.697662
W81740315,3,C89423630,Microbiology,1,0.5591481
W81740315,4,C121587506,Mode of action,2,0.55152255
W81740315,5,C2780791683,Action (physics),2,0.51446533
W81740315,6,C185592680,Chemistry,0,0.49157318
W81740315,7,C55493867,Biochemistry,1,0.31087762
W81740315,8,C86803240,Biology,0,0.29997322
W81740315,9,C121332964,Physics,0,0.17264062
W81740315,10,C59822182,Botany,1,0.13168353
W81740315,11,C120149898,Lichen,2,0.105347395
W81740315,12,C62520636,Quantum mechanics,1,0
W198027401,1,C71924100,Medicine,0,0.9756594
W198027401,2,C2780597408,Cyst,2,0.47324497
W198027401,3,C141071460,Surgery,1,0.2582224
W107227946,1,C71924100,Medicine,0,0.9840709
W107227946,2,C2993747882,Duodenal ulcer,2,0.62534046
W107227946,3,C90924648,Gastroenterology,1,0.39518455
W107227946,4,C126322002,Internal medicine,1,0.37916285
W2411511384,1,C71924100,Medicine,0,0.9735997
W2411511384,2,C2779767645,Mandible (arthropod mouthpart),3,0.76000047
W2411511384,3,C29694066,Orthodontics,1,0.38100836
W2411511384,4,C199343813,Dentistry,1,0.341551
W2411511384,5,C86803240,Biology,0,0
W2411511384,6,C157369684,Genus,2,0
W2411511384,7,C59822182,Botany,1,0
W2029731032,1,C71924100,Medicine,0,0.31951648
W1467880300,1,C62231903,Metabolism,2,0.63075995
W1467880300,2,C185592680,Chemistry,0,0.5279773
W1467880300,3,C31903555,Food science,1,0.36522892
W1467880300,4,C55493867,Biochemistry,1,0.3468718
W1467880300,5,C86803240,Biology,0,0.32769734
W2394844484,1,C110121322,Distribution (mathematics),2,0.5884469
W2394844484,2,C2779306644,Insulin,2,0.566342
W2394844484,3,C185592680,Chemistry,0,0.5070281
