id,which_concept,concept_id,term,level,score
W2000056551,1,C520601542,Typhoid fever,2,0.42378265
W2000056551,2,C205649164,Geography,0,0.36911052
W2000056551,3,C71924100,Medicine,0,0.23276624
W2000056551,4,C159047783,Virology,1,0.18639845
W2047219495,1,C2781402107,Hysteria,2,0.8872458
W2047219495,2,C2778348673,Production (economics),2,0.60829437
W2047219495,3,C41008148,Computer science,0,0.42140743
W2047219495,4,C71924100,Medicine,0,0.37658465
W2047219495,5,C2522767166,Data science,1,0.36704582
W2047219495,6,C118552586,Psychiatry,1,0.16672379
W2047219495,7,C162324750,Economics,0,0
W2047219495,8,C139719470,Macroeconomics,1,0
W2133592109,1,C2781320243,Erythema multiforme,2,0.82374847
W2133592109,2,C2777914695,Pneumonia,2,0.69869655
W2133592109,3,C71924100,Medicine,0,0.6208614
W2133592109,4,C16005928,Dermatology,1,0.5327112
W2133592109,5,C142853389,Association (psychology),2,0.51527905
W2133592109,6,C126322002,Internal medicine,1,0.26243648
W2133592109,7,C15744967,Psychology,0,0.1348055
W2133592109,8,C542102704,Psychotherapist,1,0
W2071886559,1,C2776983459,Syphilis,3,0.9275696
W2071886559,2,C71924100,Medicine,0,0.8207999
W2071886559,3,C3018810166,Secondary syphilis,4,0.6674045
W2071886559,4,C2908682542,Early syphilis,4,0.5739478
W2071886559,5,C2777058396,Nephritis,2,0.5084883
W2071886559,6,C2781175652,Nephrosis,2,0.4905731
W2071886559,7,C187212893,Pediatrics,1,0.46957135
W2071886559,8,C141071460,Surgery,1,0.38956016
W2071886559,9,C16005928,Dermatology,1,0.3328371
W2071886559,10,C126322002,Internal medicine,1,0.24543226
W2071886559,11,C203014093,Immunology,1,0.19250897
W2071886559,12,C3013748606,Human immunodeficiency virus (HIV),2,0.06656027
W2019242555,1,C555293320,Diabetes mellitus,2,0.45187706
W2019242555,2,C71924100,Medicine,0,0.4443133
W2019242555,3,C15744967,Psychology,0,0.38140294
W2019242555,4,C70410870,Clinical psychology,1,0.37458783
W2019242555,5,C134018914,Endocrinology,1,0.19394884
W2051824816,1,C2780165375,PLGA,3,0.7155144
W2051824816,2,C2776915481,Entrapment,2,0.65553564
W2051824816,3,C149556010,Aqueous two-phase system,3,0.62100124
W2051824816,4,C2778123984,Emulsion,2,0.61491984
W2051824816,5,C169222746,Factorial experiment,2,0.6127153
W2051824816,6,C58226133,Pulmonary surfactant,2,0.58466166
W2051824816,7,C189942447,Microsphere,2,0.5409052
W2051824816,8,C184651966,Aqueous solution,2,0.54010457
W2051824816,9,C521977710,Polymer,2,0.5313801
W2051824816,10,C185592680,Chemistry,0,0.52137667
W2051824816,11,C69357855,Diffusion,2,0.509087
W2051824816,12,C43617362,Chromatography,1,0.49110603
W2051824816,13,C192562407,Materials science,0,0.35433078
W2051824816,14,C42360764,Chemical engineering,1,0.30667162
W2051824816,15,C202751555,In vitro,2,0.2838149
W2051824816,16,C141071460,Surgery,1,0.13917226
W2051824816,17,C55493867,Biochemistry,1,0.1267778
W2051824816,18,C178790620,Organic chemistry,1,0.09665966
W2051824816,19,C33923547,Mathematics,0,0.08561972
W2051824816,20,C71924100,Medicine,0,0.05923122
W2051824816,21,C105795698,Statistics,1,0
W2051824816,22,C121332964,Physics,0,0
W2051824816,23,C127413603,Engineering,0,0
W2051824816,24,C97355855,Thermodynamics,1,0
W2303376869,1,C2775886723,Pyuria,3,0.7501619
W2303376869,2,C41008148,Computer science,0,0.51818424
W2303376869,3,C71924100,Medicine,0,0.40910968
W2303376869,4,C136764020,World Wide Web,1,0.39491177
W2303376869,5,C2522767166,Data science,1,0.38327494
W2303376869,6,C126322002,Internal medicine,1,0.16170922
W2303376869,7,C77411442,Urinary system,2,0.11918399
W2042230992,1,C41008148,Computer science,0,0.5997773
W2042230992,2,C3020391286,Chemotherapeutic drugs,3,0.4119162
W2042230992,3,C71924100,Medicine,0,0.32919607
W2042230992,4,C2522767166,Data science,1,0.3289373
W2042230992,5,C2776694085,Chemotherapy,2,0.0845328
W2042230992,6,C141071460,Surgery,1,0.081401914
W2150341654,1,C2909886172,D-Tubocurarine,2,0.7239074
W2150341654,2,C130093455,Sensation,2,0.6874265
W2150341654,3,C2778695967,Chloride,2,0.49472234
W2150341654,4,C15744967,Psychology,0,0.41554308
W2150341654,5,C98274493,Pharmacology,1,0.33574635
W2150341654,6,C185592680,Chemistry,0,0.3320946
W2150341654,7,C71924100,Medicine,0,0.22710183
W2150341654,8,C169760540,Neuroscience,1,0.20697561
W2150341654,9,C178790620,Organic chemistry,1,0.11823097
W2123107017,1,C2780708024,Dysentery,2,0.79963076
W2123107017,2,C2780378061,Service (business),2,0.5601065
W2123107017,3,C71924100,Medicine,0,0.44374472
W2123107017,4,C144133560,Business,0,0.3438457
W2123107017,5,C177713679,Intensive care medicine,1,0.33555558
W2123107017,6,C142724271,Pathology,1,0.14191177
W2123107017,7,C162853370,Marketing,1,0.06469765
W2039062662,1,C174802600,Penicillin,3,0.8288808
W2039062662,2,C89423630,Microbiology,1,0.75740975
W2039062662,3,C2779116991,Clostridium perfringens,3,0.6794238
W2039062662,4,C501593827,Antibiotics,2,0.48457468
W2039062662,5,C32611913,Titer,3,0.43572637
W2039062662,6,C57992300,Potency,3,0.42318285
W2039062662,7,C159047783,Virology,1,0.40141258
W2039062662,8,C86803240,Biology,0,0.38235697
W2039062662,9,C523546767,Bacteria,2,0.2620123
W2039062662,10,C2522874641,Virus,2,0.22033998
W2039062662,11,C54355233,Genetics,1,0
W2039062662,12,C202751555,In vitro,2,0
W2039062662,13,C55493867,Biochemistry,1,0
W2144257487,1,C3018581240,Acute appendicitis,2,0.67907625
W2144257487,2,C2780016130,Appendicitis,2,0.6367723
W2144257487,3,C61434518,General surgery,1,0.5588048
W2144257487,4,C71924100,Medicine,0,0.4875924
W2987108924,1,C2781069245,Tuberculosis,2,0.7589369
W2987108924,2,C144133560,Business,0,0.411188
W2987108924,3,C71924100,Medicine,0,0.30286145
W2987108924,4,C142724271,Pathology,1,0.09302741
W2045669587,1,C178802073,Aeronautics,1,0.3444717
W2045669587,2,C77595967,Forensic engineering,1,0.32757083
W2045669587,3,C127413603,Engineering,0,0.28378683
W3041109189,1,C2777977315,Primary (astronomy),2,0.48661932
W3041109189,2,C71924100,Medicine,0,0.43670112
W3041109189,3,C164705383,Cardiology,1,0.33419
W3041109189,4,C126322002,Internal medicine,1,0.32689524
W3041109189,5,C121332964,Physics,0,0.108756125
W3041109189,6,C1276947,Astronomy,1,0
W2009586913,1,C2776225656,Schistosomiasis,3,0.7550956
W2009586913,2,C205649164,Geography,0,0.39705887
W2009586913,3,C86803240,Biology,0,0.34128612
W2009586913,4,C90856448,Zoology,1,0.30969226
W2009586913,5,C165901193,Helminths,2,0.27922007
W2011846836,1,C2776125364,Albumin,2,0.5855685
W2011846836,2,C185592680,Chemistry,0,0.29068208
W2011846836,3,C55493867,Biochemistry,1,0.13446516
W2274903250,1,C112299071,Infant mortality,3,0.47625828
W2274903250,2,C71924100,Medicine,0,0.35196555
W2274903250,3,C205649164,Geography,0,0.32799384
W2274903250,4,C99454951,Environmental health,1,0.2892313
W2274903250,5,C2908647359,Population,2,0.049895793
W2033287117,1,C71924100,Medicine,0,0.65687406
W2033287117,2,C207886595,Pathological,2,0.56446284
W2033287117,3,C2779354088,Degeneration (medical),2,0.49622828
W2033287117,4,C84393581,Blood pressure,2,0.47050306
W2033287117,5,C142724271,Pathology,1,0.46697474
W2033287117,6,C2775849017,Splanchnic,3,0.42713207
W2033287117,7,C42407357,Physiology,1,0.34056166
W2033287117,8,C158846371,Blood flow,2,0.28513357
W2033287117,9,C126322002,Internal medicine,1,0.22416407
W2074461341,1,C3018498973,Peripheral nerve,2,0.6232931
W2074461341,2,C41008148,Computer science,0,0.5337993
W2074461341,3,C71924100,Medicine,0,0.48373178
W2074461341,4,C105702510,Anatomy,1,0.1657199
W2255479638,1,C2778048844,Malaria,2,0.8250481
W2255479638,2,C107130276,Epidemiology,2,0.71490973
W2255479638,3,C71924100,Medicine,0,0.68849564
