id,which_concept,concept_id,term,level,score
W2009973425,1,C2781069245,Tuberculosis,2,0.84726167
W2009973425,2,C2775843808,Streptomycin,3,0.8150047
W2009973425,3,C2777975735,Mycobacterium tuberculosis,3,0.6723653
W2009973425,4,C184112429,Serial dilution,3,0.52034634
W2009973425,5,C89423630,Microbiology,1,0.39805996
W2009973425,6,C501593827,Antibiotics,2,0.39302504
W2009973425,7,C71924100,Medicine,0,0.38606387
W2009973425,8,C86803240,Biology,0,0.37664172
W2009973425,9,C142724271,Pathology,1,0.13689587
W2009973425,10,C204787440,Alternative medicine,2,0
W2055589761,1,C42219234,Anesthesia,1,0.7219762
W2055589761,2,C71924100,Medicine,0,0.7149842
W2055589761,3,C2777790793,Arachnoiditis,2,0.5964497
W2055589761,4,C2780536975,Cauda equina syndrome,2,0.5182114
W2055589761,5,C2781300204,Cauda equina,3,0.46676725
W2055589761,6,C141071460,Surgery,1,0.45431185
W2055589761,7,C2780775167,Spinal cord,2,0.44596
W2055589761,8,C2778162923,Anesthetic,2,0.44527888
W2055589761,9,C118552586,Psychiatry,1,0
W4231771005,1,C2779662492,Hematoma,2,0.5973946
W4231771005,2,C71924100,Medicine,0,0.44889408
W4231771005,3,C126838900,Radiology,1,0.250589
W2413742647,1,C71924100,Medicine,0,0.98599076
W2413742647,2,C1122143,Histamine,2,0.6707081
W2413742647,3,C98274493,Pharmacology,1,0.47398177
W2413742647,4,C2909530563,Histamine H1 Antagonists,3,0.45735753
W2413742647,5,C2909351178,Histamine antagonists,3,0.44931194
W2413742647,6,C177713679,Intensive care medicine,1,0.3600486
W2053393082,1,C523546767,Bacteria,2,0.5994096
W2053393082,2,C71924100,Medicine,0,0.45663574
W2053393082,3,C177713679,Intensive care medicine,1,0.43296927
W2053393082,4,C86803240,Biology,0,0.36498353
W2053393082,5,C54355233,Genetics,1,0
W4245609523,1,C2779862638,Blast injury,3,0.8725664
W4245609523,2,C154238967,Explosive material,2,0.8058207
W4245609523,3,C203397868,Detonation,3,0.6883997
W4245609523,4,C203224028,Blast wave,3,0.66186476
