id,which_concept,concept_id,term,level,score
W2000823525,15,C41625074,Membrane,2,0.103484035
W2099274404,1,C2777366897,HeLa,3,0.83040917
W2099274404,2,C77784730,Proanthocyanidin,4,0.77213824
W2099274404,3,C2779661893,Butylated hydroxytoluene,3,0.7527267
W2099274404,4,C2781401929,DPPH,3,0.7522966
W2099274404,5,C2779106036,Flavonols,4,0.7331402
W2099274404,6,C2776286235,Phaseolus,2,0.7140703
W2099274404,7,C70899900,Polyphenol,3,0.68425
W2099274404,8,C185592680,Chemistry,0,0.66713154
W2099274404,9,C190283241,Apoptosis,2,0.58885145
W2099274404,10,C2778004101,Antioxidant,2,0.5308042
W2099274404,11,C56783068,Scavenger,3,0.5186038
W2099274404,12,C31903555,Food science,1,0.5087722
W2099274404,13,C55493867,Biochemistry,1,0.46462828
W2099274404,14,C59822182,Botany,1,0.26406026
W2099274404,15,C86803240,Biology,0,0.23584187
W2099274404,16,C1491633281,Cell,2,0.16801089
W1997437092,1,C71924100,Medicine,0,0.5757401
W1997437092,2,C142724271,Pathology,1,0.5623385
W1997437092,3,C143409427,Magnetic resonance imaging,2,0.4804563
W1997437092,4,C207886595,Pathological,2,0.47227892
W1997437092,5,C2776194525,Glioblastoma,2,0.47098586
W1997437092,6,C2780886150,Edema,2,0.45267698
W1997437092,7,C196822366,Parenchyma,2,0.44074005
W1997437092,8,C126838900,Radiology,1,0.35416278
W1997437092,9,C2989005,Nuclear medicine,1,0.32503182
W1997437092,10,C126322002,Internal medicine,1,0.19052345
W1997437092,11,C502942594,Cancer research,1,0
W2048632895,1,C2779160599,Meningioma,2,0.7805121
W2048632895,2,C142724271,Pathology,1,0.70349294
W2048632895,3,C2776193487,Basement membrane,2,0.6918217
W2048632895,4,C2779265215,Pia mater,2,0.5302783
W2048632895,5,C71924100,Medicine,0,0.49970984
W2048632895,6,C105702510,Anatomy,1,0.4384219
W2048632895,7,C2778987889,Dura mater,2,0.41094118
W2019806135,1,C71924100,Medicine,0,0.73489225
W2019806135,2,C2780886150,Edema,2,0.678827
W2019806135,3,C2779130545,Brain tumor,2,0.6100277
W2019806135,4,C142724271,Pathology,1,0.58056545
W2019806135,5,C12770488,Neurosurgery,2,0.5416636
W2019806135,6,C3019162651,Brain edema,2,0.50797397
