inst_id,perc_expend_basic,perc_basic_fed,perc_hhs_fund_ls,perc_sal,perc_cap,perc_ls_cap,perc_ls_biohs,applied_expend,basic_expend,basic_fed_expend,dev_expend,expend_capital,expend_salaries,ls_fund,hs_fund,bio_fund,ls_cap_expend,phd_granting,ba_granting,ma_granting,prof_granting,hbcu_flag,med_sch,hhe_flag,public,RD_Spending_Index
3369,1.0,0.7553018,0.0,0.18760195,0.6606852,0.48395061,,,613.0,463.0,,405.0,115.0,267.0,,267.0,196.0,0.0,1.0,0.0,0.0,0,,0,0.0,-1.2575900610277757
3370,0.93789494,0.3402843,0.46286756,0.36199683,0.0811877,0.23675038,,401.42857142857144,3243.3846153846152,1100.5384615384614,35.0,289.15384615384613,1247.2307692307693,760.9231,,760.9231,69.53846153846153,0.0,1.0,0.0,0.0,0,,0,0.0,-0.8753979772534068
3371,0.2897364,0.6878719,0.92772454,0.48436657,0.02620354,0.577223,0.71274257,116505.07692307692,69656.46153846153,47933.307692307695,48377.230769230766,5814.2307692307695,115301.23076923077,172595.0,81853.766,36871.46,3317.0,1.0,0.0,0.0,0.0,0,1.0,0,1.0,1.8425637692515984
3378,0.9379236,0.6356295,0.94782627,0.4220894,0.024520645,0.688253,0.9552974,7538.2307692307695,1137881.6153846155,675408.2307692308,63183.07692307692,28761.076923076922,517163.3846153846,923687.6,364696.16,512772.3,19641.384615384617,1.0,0.0,0.0,0.0,0,1.0,0,0.0,11.59702015024121
3384,1.0,0.18437973,0.0,0.56792986,0.1,1.0,,,230.5,41.5,,24.0,130.5,52.0,,52.0,24.0,0.0,0.0,1.0,0.0,0,,0,0.0,-1.063575676251922
3385,1.0,0.77129626,0.10454545,0.4722222,0.07037037,,,,567.0,437.5,,38.0,268.5,96.5,,96.5,,0.0,1.0,0.0,0.0,0,,0,0.0,-0.7237915339610331
3388,0.49908367,0.42706734,0.19093114,0.37148142,0.05692222,0.1684907,1.0,5639.615384615385,7957.153846153846,3072.230769230769,3713.6363636363635,851.8461538461538,6461.461538461538,2337.3845,1704.0,1602.5385,133.3846153846154,1.0,0.0,0.0,0.0,0,,0,0.0,-0.7838030949639935
3389,0.1751218,0.8040198,,0.3737846,0.14725032,,,806.6666666666666,172.33333333333334,119.66666666666667,5.0,169.0,374.3333333333333,,,,,0.0,1.0,0.0,0.0,0,,0,0.0,-0.8970757196126494
3394,0.5685127,0.49244955,0.6179809,0.45934194,0.33501437,0.3181818,1.0,177.0,261.0,164.0,53.5,143.5,237.5,183.0,137.0,114.5,7.0,1.0,0.0,0.0,0.0,0,,0,0.0,-1.0073868426548565
3401,0.78643703,0.5299492,0.91086483,0.20541398,0.02118006,0.3869278,0.75464565,71364.125,247514.53846153847,119415.84615384616,26920.375,6443.923076923077,58239.153846153844,123083.766,49506.383,43238.77,2496.076923076923,1.0,0.0,0.0,0.0,0,1.0,0,0.0,2.0297048279824264
3406,0.9215548,0.8300512,0.536429,0.38839838,0.13589779,0.89079195,,90.22222222222223,950.0,785.1,,141.375,397.7,630.6,,627.8,102.14285714285714,0.0,0.0,1.0,0.0,0,,0,0.0,-0.8798950518990475
3414,0.47825855,0.7480503,0.71192,0.32084996,0.021317614,0.2565907,0.64295244,31199.69230769231,51111.230769230766,37561.692307692305,24011.153846153848,2247.769230769231,33968.769230769234,24835.691,6727.769,9262.538,611.9230769230769,1.0,0.0,0.0,0.0,0,,0,1.0,0.27506458080821394
3424,0.35748383,0.9454142,0.36020625,0.321473,0.13550475,0.54261464,,1200.4615384615386,666.6923076923077,633.6153846153846,589.8,322.0,719.5384615384615,1422.3334,,1391.7778,212.42857142857142,0.0,0.0,1.0,0.0,1,,0,0.0,-1.0550477924158692
3425,0.23343262,0.9615074,0.19414477,0.513532,0.049493704,0.23359668,0.49325365,145079.61538461538,47040.53846153846,41515.692307692305,692.0769230769231,9650.692307692309,98972.92307692308,51525.54,3029.6924,22227.924,2084.5384615384614,1.0,0.0,0.0,0.0,0,,0,1.0,1.1354979009649657
3428,0.5964981,0.60901606,0.13570224,0.38070628,0.030156897,0.28430977,0.7853426,1832.076923076923,5150.076923076923,3151.076923076923,1909.6153846153845,271.0769230769231,3413.3076923076924,1773.5385,173.0,1579.8462,90.33333333333333,0.0,0.0,1.0,0.0,0,,0,1.0,-1.006651855079537
3434,0.55758977,0.3867236,0.80239993,0.31981,0.12628116,0.16498248,0.8932417,1210.3076923076924,1117.4,430.2,26.166666666666668,261.1,657.6153846153846,390.0,72.6,268.46155,23.0,0.0,0.0,1.0,0.0,0,,0,0.0,-0.8475413302311412
3438,0.71073085,0.53590304,0.89072895,0.41657466,0.014803244,1.0,0.6467293,47835.166666666664,179689.6923076923,95934.30769230769,33175.153846153844,3736.230769230769,106802.0,257020.39,94036.16,70394.0,3736.230769230769,1.0,0.0,0.0,0.0,0,1.0,0,1.0,1.8056840214737298
3446,0.45756537,0.7750456,0.46471977,0.4441055,0.015469204,0.4030348,1.0,3308.846153846154,4643.0,2798.4615384615386,2093.4545454545455,121.91666666666667,4113.7692307692305,5194.6,5370.0,1510.5,48.25,1.0,0.0,0.0,0.0,1,,0,1.0,-0.7373933076749366
3448,0.8215486,0.39284796,0.77567554,0.4359664,0.02893496,0.3749512,0.9174762,33043.46153846154,174017.76923076922,69755.30769230769,5124.7692307692305,6149.076923076923,92832.38461538461,92601.62,60691.383,23835.0,2258.3076923076924,1.0,0.0,0.0,0.0,0,1.0,0,1.0,1.254208678685485
3449,0.86807,0.67464566,0.30495209,0.2297669,0.10234102,0.4691815,0.9925054,165.11111111111111,1633.0833333333333,1258.8333333333333,79.0,97.45454545454545,465.3333333333333,868.6,417.0,784.25,36.25,0.0,0.0,1.0,0.0,0,,0,1.0,-0.9571577405256312
3450,0.7540713,0.61648834,0.6899696,0.40298373,0.10631829,,0.94622093,249.0,579.3333333333334,346.3333333333333,,71.5,311.0,688.0,437.0,214.0,,0.0,1.0,0.0,0.0,0,,0,1.0,-0.6177207550505187
3451,0.8844873,0.5733607,0.29558045,0.4120222,0.031392977,0.13377587,,918.0,1901.5384615384614,1111.4615384615386,173.5,68.46153846153847,955.0,237.66667,,206.75,17.8,0.0,0.0,1.0,0.0,0,,0,1.0,-0.9603969255412262
3456,0.5623281,0.6199988,0.9930406,0.43205917,0.019396747,0.48214287,,894.8333333333334,1898.75,1173.1666666666667,3150.1666666666665,51.0,2562.0833333333335,440.83334,,381.41666,41.25,0.0,0.0,1.0,0.0,0,,0,1.0,-0.6799996572268285
3458,0.5093648,0.76806426,0.7525356,0.50575143,0.1447407,0.4618711,1.0,473.90909090909093,536.9090909090909,394.90909090909093,84.8,162.7,520.0909090909091,570.1667,9.0,568.6667,53.55555555555556,0.0,0.0,1.0,0.0,0,,0,0.0,-0.9442921106865382
3459,0.93046325,0.77856165,0.8069219,0.50207376,0.06353857,0.67652684,1.0,111.07692307692308,2039.4615384615386,1549.923076923077,54.0,134.07692307692307,1073.7692307692307,901.1539,29.0,893.0,76.91666666666667,0.0,0.0,1.0,0.0,0,,0,1.0,-0.7789794711059647
3470,0.5320135,0.7104262,,0.39248785,0.0694785,,,6093.384615384615,9383.76923076923,6934.615384615385,1963.6923076923076,1210.1538461538462,6424.153846153846,,,,,1.0,0.0,0.0,0.0,0,,0,1.0,-0.5087539139177192
3471,0.18028592,0.6425206,0.13805425,0.46025562,0.029680485,0.58116746,0.15910952,43112.07692307692,11335.76923076923,7223.307692307692,8086.307692307692,1854.4166666666667,28701.53846153846,45144.383,3827.3845,3374.6155,996.1666666666666,1.0,0.0,0.0,0.0,0,,0,1.0,-0.429783182060937
3474,0.91219556,0.43139297,0.8279222,0.27120215,0.037764736,0.34382242,0.9672093,2489.923076923077,27043.384615384617,11708.76923076923,250.5,1121.2307692307693,8008.307692307692,16958.309,2172.3076,14243.0,382.2307692307692,1.0,0.0,0.0,0.0,0,1.0,0,1.0,-0.3060393540824302
3486,0.82170945,0.6121823,,0.29618353,,,,56.0,258.0,158.0,,,93.0,,,,,1.0,0.0,0.0,0.0,0,,0,0.0,-0.42374461199641983
3487,0.66279083,0.6139923,0.88366413,0.42952663,0.029029835,0.7051773,0.99900657,2808.153846153846,8114.538461538462,4531.307692307692,1117.6923076923076,327.61538461538464,4989.0,9459.0,4872.4614,4579.0,211.23076923076923,1.0,0.0,0.0,0.0,0,1.0,0,1.0,-0.5073148651422399
3490,0.70132375,0.96050346,0.19111678,0.69341755,0.07665755,0.6588769,,1292.2307692307693,4022.090909090909,3792.7272727272725,2745.1666666666665,363.375,4435.307692307692,2470.0,,2470.0,107.83333333333333,0.0,0.0,1.0,0.0,1,,0,0.0,-1.1107356707625435
3501,1.0,0.8398819,,0.32134795,0.18224056,,,,458.5,390.5,,76.5,153.5,,,,,0.0,1.0,0.0,0.0,1,,0,0.0,-0.5926507028968081
3506,0.49679935,0.8952604,0.9777826,0.5248977,0.03248627,0.9955397,,13730.461538461539,8147.285714285715,7280.428571428572,2300.1428571428573,607.5384615384615,10021.846153846154,19351.0,,19351.0,602.5384615384615,1.0,0.0,0.0,0.0,1,1.0,0,0.0,-0.40360654567306725
3509,0.45500934,0.25274077,0.7723969,0.6064558,0.020347564,0.20002617,0.81556714,21088.615384615383,26897.30769230769,7232.692307692308,8033.538461538462,1148.4615384615386,34355.307692307695,8527.154,4294.273,3349.6155,215.46153846153845,1.0,0.0,0.0,0.0,0,,0,1.0,-0.2618240876368797
3510,0.42700776,0.49583915,0.3340931,0.536028,0.05422367,0.45283338,0.74239254,5365.461538461538,3000.230769230769,1349.3846153846155,294.2857142857143,375.9166666666667,5392.692307692308,1729.7693,369.8,1023.2308,101.45454545454545,1.0,0.0,0.0,0.0,0,,0,1.0,-0.8816305930198625
