<tab:stat_year_cns>
              1.8034	              1.9870
             16.5036	             20.0352
           8823.3020	           7697.1086
              0.2007	              0.3412
              0.4219	              1.1938
              0.1877	              0.5056
              1.4010	              1.2133
             16.8865	             20.6407
           8845.5627	           7880.3805
              0.1943	              0.3478
              0.2948	              0.7494
              4.1492	              3.4545
             14.2723	             15.8756
           8693.5577	           6525.9732
              0.2383	              0.2975
              1.1627	              2.4115
              7.0373	              5.0608
             13.2477	             13.8799
           9315.1308	           6159.8381
              0.2979	              0.2817
              2.4874	              3.9950
             76.4752	             74.1086
           7304.6420	           7657.6306
              0.1697	              0.2255
             33.0705	            214.5921
