id,which_mesh,term,is_major_topic,qualifier_name
W2085051990,1,Endotoxins,TRUE,
W2085051990,2,Neoplasms,TRUE,therapy
W2085051990,3,"Neoplasms, Experimental",TRUE,
W2085051990,4,Trypanosoma,TRUE,
W2085051990,5,Trypanosoma cruzi,TRUE,
W2085051990,6,Animals,FALSE,
W2085051990,7,Mice,FALSE,
W2085051990,8,Neoplasms,FALSE,
W1982942637,1,Chromatography,TRUE,instrumentation
W1982942637,2,"Chromatography, Liquid",TRUE,
W1982942637,3,Chromatography,FALSE,
W2062569023,1,Amino Acids,TRUE,
W2062569023,2,Tryptophan,TRUE,pharmacology
W2062569023,3,Animals,FALSE,
W2062569023,4,Swine,FALSE,
W2062569023,5,Tryptophan,FALSE,
W1993056160,1,Radioactive Tracers,TRUE,
W1993056160,2,Radioactivity,TRUE,
W1993056160,3,Humans,FALSE,
W2020860543,1,Acclimatization,TRUE,
W2020860543,2,"Adaptation, Physiological",TRUE,
W2020860543,3,Calibration,TRUE,
W2020860543,4,Insurance,TRUE,
W2020860543,5,Manometry,TRUE,
W2020860543,6,Mercury,TRUE,
W2020860543,7,Humans,FALSE,
W2032277052,1,Birds,TRUE,
W2032277052,2,Animals,FALSE,
W2032277052,3,Humans,FALSE,
W2089411435,1,Birds,TRUE,
W2089411435,2,Animals,FALSE,
W2095558181,1,"2,4-Dichlorophenoxyacetic Acid",TRUE,
W2095558181,2,Physiological Phenomena,TRUE,
W2095558181,3,Saccharomyces cerevisiae,TRUE,
W2095558181,4,Yeasts,TRUE,growth & development
W2095558181,5,Yeasts,FALSE,
W1999504150,1,Bacteriology,TRUE,
W1999504150,2,Biological Assay,TRUE,
W1999504150,3,Humans,FALSE,
W2093627668,1,Body Fluids,TRUE,
W2093627668,2,Feces,TRUE,
W2093627668,3,Fluids and Secretions,TRUE,
W1975821139,1,Insect Vectors,TRUE,
W1975821139,2,Oncogenic Viruses,TRUE,
W1975821139,3,Plant Tumors,TRUE,
W1975821139,4,Plant Viruses,TRUE,
W1975821139,5,Plants,TRUE,
W1975821139,6,Viruses,TRUE,
