inst_id,inst,country_code,country,city,region,type,which_inst,associated,associated_id,associated_country,associated_type,associated_rel,which_assoc
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Archéologie et Archéométrie,I4210115427,FR,facility,child,1
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Automation and Process Engineering Laboratory,I4210143168,FR,facility,child,2
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Bioingénierie et Dynamique Microbienne aux Interfaces Alimentaires,I4210144525,FR,facility,child,3
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Biologie Fonctionnelle Insectes et Interactions,I4210129169,FR,facility,child,4
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Biologie Tissulaire et Ingénierie Thérapeutique,I4210156542,FR,facility,child,5
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Biomechanics and Impact Mechanics Laboratory,I4210112277,FR,facility,child,6
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Biometry and Evolutionary Biology Laboratory,I4210135640,FR,facility,child,7
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Cancer Center of Lyon,I4210125048,FR,facility,child,8
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Centre de Recherche en Acquisition et Traitement de l'Image pour la Santé,I4210138704,FR,facility,child,9
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Centre for Astronomical Reseach of Lyon,I4210088987,FR,facility,child,10
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Centre for Cognitive Neuroscience,I4210122262,FR,facility,child,11
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Centre for Energy and Thermal Sciences of Lyon,I4210104752,FR,facility,child,12
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Decision & Information Sciences for Production Systems,I4210131384,FR,facility,child,13
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,"Entrepôts, Représentation et Ingénierie des Connaissances",I4210089636,FR,facility,child,14
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Equipe de recherche de Lyon en Sciences de l'Information et de la Communication,I4210151816,FR,facility,child,15
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Field Observatory in Urban Hydrology,I4210165635,FR,facility,child,16
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Fédération Informatique de Lyon,I4210148446,FR,facility,child,17
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Groupe d'Analyse et de Théorie Economique Lyon St Etienne,I4210147622,FR,facility,child,18
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Institut Lumière Matière,I4210133140,FR,facility,child,19
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Institut NeuroMyoGène,I4210125101,FR,facility,child,20
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Institut de Biologie et de Chimie des Protéines,I4210087293,FR,facility,child,21
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Institut de Chimie et Biochimie Moléculaires et Supramoléculaires,I4210099454,FR,facility,child,22
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Institut de Génomique Fonctionnelle de Lyon,I4210125167,FR,facility,child,23
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Institut des Nanotechnologies de Lyon,I2800958632,FR,facility,child,24
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Institute for Cognitive Science,I4210153173,FR,facility,child,25
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Institute of Analytical Sciences,I4210130737,FR,facility,child,26
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Institute of Researches on Catalysis and Environment in Lyon,I4210150028,FR,facility,child,27
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,International Center for Infectiology Research,I4210161906,FR,facility,child,28
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire Ampère,I4210145913,FR,facility,child,29
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire CarMeN,I4210126950,FR,facility,child,30
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire Hydrazines et Composés Energétiques Polyazotés,I4210110750,FR,facility,child,31
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire d'Informatique en Images et Systèmes d'Information,I4210155607,FR,facility,child,32
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire de Biologie Moléculaire de la Cellule,I4210100775,FR,facility,child,33
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire de Chimie,I4210130154,FR,facility,child,34
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,"Laboratoire de Géologie de Lyon : Terre, Planètes et Environnement",I4210155927,FR,facility,child,35
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire de Mécanique des Fluides et d'Acoustique,I4210149024,FR,facility,child,36
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire de Physique de l'ENS de Lyon,I4210096929,FR,facility,child,37
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire de Reproduction et Développement des Plantes,I4210143888,FR,facility,child,38
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire de Spectrométrie Ionique et Moléculaire,I4210134130,FR,facility,child,39
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire de l'Informatique du Parallélisme,I4210144566,FR,facility,child,40
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratoire des Multimatériaux et Interfaces,I4210126479,FR,facility,child,41
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,"Laboratory for Language, Brain and Cognition",I4210158140,FR,facility,child,42
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,"Laboratory of Chemistry, Catalysis, Polymers and Process",I4210132120,FR,facility,child,43
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratory of Polymer Materials Engineering,I4210115277,FR,facility,child,44
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Laboratory of Therapeutic Applications of Ultrasound,I4210166168,FR,facility,child,45
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Lyon Neuroscience Research Center,I4210095118,FR,facility,child,46
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Management et Économie Lyon Saint-Étienne,I4210117793,FR,facility,child,47
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Matériaux Ingénierie et Science,I4210111246,FR,facility,child,48
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Microbial Ecology,I4210153052,FR,facility,child,49
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,"Microbiology, Adaptation and Pathogenesis Lab",I4210129159,FR,facility,child,50
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Stem-Cell and Brain Research Institute,I4210129939,FR,facility,child,51
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Structural and Molecular Basis of Infectious Systems,I4210095149,FR,facility,child,52
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,The European Center for High Field NMR,I4210094199,FR,facility,child,53
I100532134,Claude Bernard University Lyon 1,FR,France,Villeurbanne,,education,1,Virology and Human Pathology,I4210140403,FR,facility,child,54
