id,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2043345540,Ordered Overlayers of C <sub>60</sub> on GaAs(110) Studied with Scanning Tunneling Microscopy,1991-04-26,222,journal-article,17838487,5,A5047763481,L. P. F. Chibante,"Rice Quantum Institute and Departments of Chemistry and Physics, Rice University, Houston, TX 77251",Rice University,I74775410,1
W2043345540,Ordered Overlayers of C <sub>60</sub> on GaAs(110) Studied with Scanning Tunneling Microscopy,1991-04-26,222,journal-article,17838487,6,A5015746014,R. E. Smalley,"Rice Quantum Institute and Departments of Chemistry and Physics, Rice University, Houston, TX 77251",Rice University,I74775410,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,1,A5046845566,Glenn S. Orton,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109",Jet Propulsion Laboratory,I1334627681,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,2,A5015060012,A. J. Friedson,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109",Jet Propulsion Laboratory,I1334627681,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,3,A5009205221,K. H. Baines,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109",Jet Propulsion Laboratory,I1334627681,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,4,A5021125438,T. Z. Martin,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109",Jet Propulsion Laboratory,I1334627681,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,5,A5004788149,Robert A. West,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109",Jet Propulsion Laboratory,I1334627681,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,6,A5035617115,John Caldwell,"Physics Department, York University, 4700 Keele Street, North York, Ontario, M3J IP3, Canada",York University,I192455969,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,7,A5019397554,Heidi B. Hammel,"Department of Earth, Atmospheric, and Planetary Sciences, Massachusetts Institute Of Technology, Cambridge, Ma 02139",Massachusetts Institute of Technology,I63966007,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,8,A5021744875,J. T. Bergstralh,"National Aeronautics and Space Administration, Washington, DC 20546",National Aeronautics and Space Administration,I4210124779,1
