PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	HOLDEN, C				HOLDEN, C			PROTECTING SOFTWARE	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1415	1415						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CV282	17791206				2022-12-28	WOS:A1990CV28200028
J	HOLDEN, C				HOLDEN, C			BILLIONS NEEDED FOR CHILD-CARE	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1415	1415						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics	CV282	17791206				2022-12-28	WOS:A1990CV28200030
J	HOLDEN, C				HOLDEN, C			ENGLAND VERSUS THE WORLDS WORMS	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1415	1415						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CV282	17791206				2022-12-28	WOS:A1990CV28200027
J	HOLDEN, C				HOLDEN, C			A BIG BIRD IN THE SKY FOR SCIENTISTS	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1415	1415						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CV282	17791206				2022-12-28	WOS:A1990CV28200029
J	HOLDEN, C				HOLDEN, C			NEW GRANTS FROM ROCKEFELLER	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1415	1415						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CV282	17791206				2022-12-28	WOS:A1990CV28200026
J	HOLDEN, C				HOLDEN, C			SAY WHAT	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1414	1414						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CV282	17791204				2022-12-28	WOS:A1990CV28200023
J	HOLDEN, C				HOLDEN, C			OUTSIDE SSC FUNDING IS LIMITED	SCIENCE			English	Editorial Material																		1990, SCIENCE, V247, P152	1	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1414	1414						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CV282	17791204				2022-12-28	WOS:A1990CV28200021
J	HOLDEN, C				HOLDEN, C			CHINA SCHOLAR DROPS STANFORD SUIT	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1414	1414						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CV282	17791204				2022-12-28	WOS:A1990CV28200025
J	HOLDEN, C				HOLDEN, C			SLICK SOVIET ADS	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1414	1414						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CV282	17791204				2022-12-28	WOS:A1990CV28200022
J	HOLDEN, C				HOLDEN, C			BRITS COOL TO PHYSICS AD BLITZ	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1414	1414						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CV282	17791204				2022-12-28	WOS:A1990CV28200024
J	HAMILTON, DP				HAMILTON, DP			A NEW FIGHT OVER FETAL TISSUE	SCIENCE			English	Editorial Material																		1989, SCIENCE, V246, P752	1	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	AUG 31	1990	249	4972					983	983						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DX004	17789604				2022-12-28	WOS:A1990DX00400027
J	HAMILTON, DP				HAMILTON, DP			A ROUND OF APPLAUSE (SORT OF) FOR EOS	SCIENCE			English	Editorial Material																		1990, US GLOBAL CHANGE RES	1	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	AUG 31	1990	249	4972					983	983						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DX004	17789604				2022-12-28	WOS:A1990DX00400025
J	HAMILTON, DP				HAMILTON, DP			A FISHY KIND OF POLLUTION DETECTOR	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	AUG 31	1990	249	4972					983	983						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DX004	17789604				2022-12-28	WOS:A1990DX00400026
J	POOL, R				POOL, R			101 USES FOR TINY TUBULES	SCIENCE			English	Editorial Material																			0	49	52	0	5	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1410	1411						2	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CV282	17791196				2022-12-28	WOS:A1990CV28200017
J	POOL, R				POOL, R			ANYON SUPERCONDUCTIVITY	SCIENCE			English	Editorial Material																			0	49	52	0	5	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 23	1990	247	4949					1410	1410						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CV282	17791196				2022-12-28	WOS:A1990CV28200016
J	RUBINSTEIN, E				RUBINSTEIN, E			SUCCEEDING GENERATIONS - REPLY	SCIENCE			English	Letter													Mitton, Simon A/A-5899-2012	Mitton, Simon A/0000-0003-3695-9806					0	0	0	0	0	AMER ASSOC ADVAN SCIENCE	WASHINGTON	1333 H ST NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUL 14	1995	269	5221					146	146		10.1126/science.269.5221.146-a	http://dx.doi.org/10.1126/science.269.5221.146-a			1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	RJ029	17789828				2022-12-28	WOS:A1995RJ02900005
J	MITTON, S				MITTON, S			SUCCEEDING GENERATIONS	SCIENCE			English	Letter											MITTON, S (corresponding author), CAMBRIDGE UNIV PRESS, STM PUBLISHING & ELECTR PUBLISHING, CAMBRIDGE CB2 2RU, ENGLAND.		Mitton, Simon A/A-5899-2012	Mitton, Simon A/0000-0003-3695-9806					0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA	0036-8075	1095-9203		SCIENCE	Science	JUL 14	1995	269	5221					146	146		10.1126/science.269.5221.146-a	http://dx.doi.org/10.1126/science.269.5221.146-a			1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	RJ029	17789828				2022-12-28	WOS:A1995RJ02900006
J	KERR, RA				KERR, RA			AN UNNERVING PREVIEW OF A NORTHERN CALIFORNIA QUAKE	SCIENCE			English	Editorial Material																		1995, SCIENCE         0113, P176	1	1	1	0	0	AMER ASSOC ADVAN SCIENCE	WASHINGTON	1333 H ST NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 27	1995	267	5197					445	445		10.1126/science.267.5197.445	http://dx.doi.org/10.1126/science.267.5197.445			1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	QD403	17788774				2022-12-28	WOS:A1995QD40300014
J	ROMAGNANI, S; MAGGI, E				ROMAGNANI, S; MAGGI, E			T(H)2 DOWN-REGULATION OF MACROPHAGE HIV-1 REPLICATION - REPLY	SCIENCE			English	Article											ROMAGNANI, S (corresponding author), UNIV FLORENCE,IST CLIN MED 3,VIALE MORGAGNI 85,I-50134 FLORENCE,ITALY.		Maggi, Enrico/AAA-8045-2019	Maggi, Enrico/0000-0002-1824-3583				DELPRETE G, 1995, FASEB J, V9, P81, DOI 10.1096/fasebj.9.1.7821763; MAGGI E, 1994, SCIENCE, V265, P244, DOI 10.1126/science.8023142; MAGGI E, UNPUB; MANETTI R, 1994, J EXP MED, V180, P2407, DOI 10.1084/jem.180.6.2407; PIZZOLO G, 1994, AIDS, V8, P741, DOI 10.1097/00002030-199406000-00003; SMITH CA, 1993, CELL, V73, P1349, DOI 10.1016/0092-8674(93)90361-S	6	0	0	0	0	AMER ASSOC ADVAN SCIENCE	WASHINGTON	1333 H ST NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 27	1995	267	5197					539	539		10.1126/science.267.5197.539	http://dx.doi.org/10.1126/science.267.5197.539			1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	QD403	17788789				2022-12-28	WOS:A1995QD40300048
J	JOHNSTONE, B				JOHNSTONE, B			TAIWAN - PAST SUCCESS PROVIDES NO SURE GUIDE TO THE FUTURE	SCIENCE			English	Editorial Material																			0	1	1	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	OCT 15	1993	262	5132					358	359		10.1126/science.262.5132.358	http://dx.doi.org/10.1126/science.262.5132.358			2	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	MB859	17789932				2022-12-28	WOS:A1993MB85900028
